N,sym,U_ss,U_pp,zeta_s,zeta_p,zeta_d,beta_s,beta_p,g_ss,g_sp,g_pp,g_p2,h_sp,alpha,Gaussian1_K,Gaussian1_L,Gaussian1_M,Gaussian2_K,Gaussian2_L,Gaussian2_M,DD,QQ,AM,AD,AQ
0,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
1,H,-13.0733210,0.0000000,0.9678070,0.0000000,0.0000000,-5.6265120,0.0000000,14.7942080,0.0000000,0.0000000,0.0000000,0.0000000,3.3563860,1.1287500,5.0962820,1.5374650,-1.0603290,6.0037880,1.5701890,0.0000000,0.0000000,0.5437048,0.0000000,0.0000000
2,He,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
3,Li,-5.3000000,-3.4000000,0.6500000,0.7500000,0.0000000,-0.5500000,-1.5000000,4.5000000,3.0000000,5.2500000,4.5000000,0.1500000,1.2550000,-0.4500000,5.0000000,1.0000000,0.8000000,6.5000000,1.0000000,2.0357652,1.6329932,0.1653804,0.1156738,0.3166080
4,Be,-17.2647520,-11.3042430,0.8774390,1.5087550,0.0000000,-3.9620530,-2.7806840,9.0128510,6.5761990,6.0571820,9.0052190,0.5446790,1.5935360,1.6315720,2.6729620,1.7916860,-2.1109590,1.9685940,1.7558710,1.0090531,0.8117586,0.3312330,0.2908996,0.3530008
5,B,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
6,C,-47.2703200,-36.2669180,1.5650850,1.8423450,0.0000000,-11.9100150,-9.8027550,11.2007080,10.2650270,10.7962920,9.0425660,2.2909800,2.7078070,0.0501070,6.0031650,1.6422140,0.0507330,6.0029790,0.8924880,0.8332396,0.6647750,0.4116394,0.5885862,0.7647667
7,N,-49.3356720,-47.5097360,2.0280940,2.3137280,0.0000000,-14.0625210,-20.0438480,11.9047870,7.3485650,11.7546720,10.8072770,1.1367130,2.8305450,1.5016740,5.9011480,1.7107400,-1.5057720,6.0046580,1.7161490,0.6577006,0.5293383,0.4375151,0.5030995,0.7364933
8,O,-86.9930020,-71.8795800,3.7965440,2.3894020,0.0000000,-45.2026510,-24.7525150,15.7557600,10.6211600,13.6540160,12.4060950,0.5938830,3.2171020,-1.1311280,6.0024770,1.6073110,1.1378910,5.9505120,1.5983950,0.4086173,0.5125738,0.5790430,0.5299630,0.8179630
9,F,-110.4353030,-105.6850470,4.7085550,2.4911780,0.0000000,-48.4059390,-27.7446600,10.4966670,16.0736890,14.8172560,14.4183930,0.7277630,3.3589210,-0.0121660,6.0235740,1.8568590,-0.0028520,6.0037170,2.6361580,0.3125302,0.4916328,0.3857650,0.6768503,0.6120047
10,Ne,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
11,Na,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,1.6810000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
12,Mg,-14.6236880,-14.1734600,0.6985520,1.4834530,0.0000000,-2.0716910,-0.5695810,6.6943000,6.7939950,6.9104460,7.0908230,0.5433000,1.3291470,2.1170500,6.0094770,2.0844060,-2.5477670,4.3953700,2.0636740,1.1403950,1.1279899,0.2460235,0.2695751,0.2767522
13,Al,-24.8454040,-22.2641590,1.7028880,1.0736290,1.0000000,-0.5943010,-0.9565500,5.7767370,11.6598560,6.3477900,6.1210770,4.0062450,1.5217030,-0.4730900,1.9158250,1.4517280,-0.1540510,6.0050860,2.5199970,1.2102799,1.5585645,0.2123020,0.6418584,0.2262838
14,Si,-26.7634830,-22.8136350,1.6350750,1.3130880,1.0000000,-2.8621450,-3.9331480,5.0471960,5.9490570,6.7593670,5.1612970,0.9198320,2.1358090,-0.3906000,6.0000540,0.6322620,0.0572590,6.0071830,2.0199870,1.3144550,1.2743396,0.1854905,0.3060715,0.4877432
15,P,-40.4130960,-29.5930520,2.0175630,1.5047320,1.0000000,-12.6158790,-4.1600400,7.8016150,5.1869490,6.6184780,6.0620020,1.5428090,1.9405340,-0.6114210,1.9972720,0.7946240,-0.0939350,1.9983600,1.9106770,1.0644947,1.1120386,0.2867187,0.4309446,0.3732517
16,S,-49.8953710,-44.3925830,1.8911850,1.6589720,1.0000000,-8.8274650,-8.0914150,8.9646670,6.7859360,9.9681640,7.9702470,4.0418360,2.2697060,-0.3991910,6.0006690,0.9621230,-0.0548990,6.0018450,1.5799440,1.1214313,1.0086488,0.3294622,0.6679118,0.6137472
17,Cl,-100.6267470,-53.6143960,2.2462100,2.1510100,1.0000000,-27.5285600,-11.5939220,16.0136010,8.0481150,7.5222150,7.5041540,3.4811530,2.5172960,-0.1715910,6.0008020,1.0875020,-0.0134580,1.9666180,2.2928910,0.9175856,0.7779230,0.5885190,0.6814522,0.3643694
18,Ar,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
19,K,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,1.4000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
20,Ca,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
21,Sc,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
22,Ti,1.0000000,1.0000000,1.5000000,1.5000000,2.8845490,-0.1000000,-0.1000000,6.0000000,4.1500000,5.0000000,3.5000000,1.0000000,3.0683070,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,1.7320508,1.4142136,0.2205072,0.2711332,0.4464656
23,V,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
24,Cr,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
25,Mn,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
26,Fe,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
27,Co,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
28,Ni,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
29,Cu,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
30,Zn,-18.5321980,-11.0474090,1.8199890,1.5069220,1.0000000,-0.7155780,-6.3518640,9.6771960,7.7362040,4.9801740,4.6696560,0.6004130,1.3501260,-0.1112340,6.0014780,1.5160320,-0.1323700,1.9958390,2.5196420,1.5005758,1.4077174,0.3556485,0.2375689,0.2661069
31,Ga,-29.8555930,-21.8753710,1.8470400,0.8394110,0.0000000,-4.9456180,-0.4070530,8.4585540,8.9256190,5.0868550,4.9830450,2.0512600,1.6051150,-0.5601790,5.6232730,1.5317800,-0.2727310,1.9918430,2.1838640,0.9776692,2.5271534,0.3108620,0.5129360,0.1546208
32,Ge,-35.4671955,-31.5863583,2.2373526,1.5924319,0.0000000,-5.3250024,-2.2501567,5.3769635,10.2095293,7.6718647,6.9242663,1.3370204,1.9723370,0.9631726,6.0120134,2.1633655,-0.9593891,5.7491802,2.1693724,1.1920304,1.3321263,0.1976098,0.3798182,0.3620669
33,As,-38.5074240,-35.1524150,2.6361770,1.7038890,0.0000000,-8.2321650,-5.0173860,8.7890010,5.3979830,8.2872500,8.2103460,1.9510340,1.7944770,-0.4600950,1.9831150,1.0867930,-0.0889960,1.9929440,2.1400580,0.9679655,1.2449874,0.3230063,0.5042239,0.2574219
34,Se,-55.3781350,-49.8230760,2.8280510,1.7325360,0.0000000,-6.1578220,-5.4930390,7.4325910,10.0604610,9.5683260,7.7242890,4.0165580,3.0439570,0.0478730,6.0074000,2.0817170,0.1147200,6.0086720,1.5164230,0.8719813,1.2244019,0.2731566,0.7509697,0.5283737
35,Br,-116.6193110,-74.2271290,5.3484570,2.1275900,1.0000000,-31.1713420,-6.8140130,15.9434250,16.0616800,8.2827630,7.8168490,0.5788690,2.5118420,0.9604580,5.9765080,2.3216540,-0.9549160,5.9447030,2.3281420,0.2759025,0.9970532,0.5859399,0.6755383,0.3823719
36,Kr,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
37,Rb,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
38,Sr,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
39,Y,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
40,Zr,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
41,Nb,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
42,Mo,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
43,Tc,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
44,Ru,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
45,Rh,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
46,Pd,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
47,Ag,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
48,Cd,-15.8285840,8.7497950,1.6793510,2.0664120,0.0000000,-8.5819440,-0.6010340,9.2069600,8.2315390,4.9481040,4.6696560,1.6562340,1.5253820,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,1.5982681,1.2432402,0.3383668,0.3570290,0.2820582
49,In,-26.1762050,-20.0058220,2.0161160,1.4453500,0.0000000,-2.9933190,-1.8289080,6.5549000,8.2298730,6.2992690,4.9842110,2.6314610,1.4183850,-0.3431380,1.9940340,1.6255160,-0.1095320,5.6832170,2.8670090,1.5766241,1.7774563,0.2409004,0.4532655,0.3689812
50,Sn,-34.5501920,-25.8944190,2.3733280,1.6382330,0.0000000,-2.7858020,-2.0059990,10.1900330,7.2353270,5.6738100,5.1822140,1.0331570,1.6996500,-0.1503530,6.0056940,1.7046420,-0.0444170,2.2573810,2.4698690,1.3120038,1.5681814,0.3744959,0.3218163,0.2832529
51,Sb,-56.4321960,-29.4349540,2.3430390,1.8999920,0.0000000,-14.7942170,-2.8179480,9.2382770,5.2776800,6.3500000,6.2500000,2.4244640,2.0343010,3.0020280,6.0053420,0.8530600,-0.0188920,6.0114780,2.7933110,1.4091903,1.3521354,0.3395177,0.4589010,0.2423472
52,Te,-44.9380360,-46.3140990,4.1654920,1.6475550,0.0000000,-2.6651460,-3.8954300,10.2550730,8.1691450,7.7775920,7.7551210,3.7724620,2.4850190,0.0333910,5.9563790,2.2775750,-1.9218670,4.9732190,0.5242430,0.3484177,1.5593085,0.3768862,1.1960743,0.2184786
